smiles,pKi
C1=C(c2ccc(CCN3CCCCC3)cc2)C2CN(Cc3ccccc3)CC2C1,9.413990595287721
C1=C(c2ccc(CCN3CCOCC3)cc2)C2CN(Cc3ccccc3)CC2C1,8.769806696356895
C1=C(c2ccc(CCN3Cc4ccccc4C3)cc2)C2CN(Cc3ccccc3)CC2C1,6.590879661072345
C1=C(c2ccc(OCCCN3CCCCC3)cc2)CCC1,8.795880017344075
C1=C(c2ccccn2)CCCN1c1nnc(N2CCC(N3CCCCC3)CC2)s1,8.41195437047216
C1=C(c2ccccn2)CN(c2nnc(N3CCC(N4CCCCC4)CC3)s2)CC1,7.6153113369619305
C1=C(c2ncccn2)CN(c2nnc(N3CCC(N4CCCCC4)CC3)s2)CC1,7.605209643917787
C1CCN(CCCOc2nc3c(s2)CCCC3)CC1,6.447331783887806
C1CCN(CCCOc2nc3c(s2)CCN(CCCN2CCCCC2)C3)CC1,7.698970004336019
C1CCN(CCCOc2nc3c(s2)CCOC3)CC1,6.46344155742847
C1CCN(CCCOc2nc3c(s2)CN(CCCN2CCCCC2)CC3)CC1,7.698970004336019
C=C(C)C(=O)c1ccc(OCCCN2CCN(C(=O)OCC)CC2)cc1,7.26003230324049
C=C(C)C1CCC(C)=CC1c1c(O)cc(CCCCC)cc1O,5.508638306165727
C=C(C)CN1CCN(c2ccc3c(c2)CN(C(=O)OCc2ccccc2)C3)CC1,5.993533957750769
C=C(C)CN1CCN(c2ccc3c(c2)CN(C(=O)OCc2ccccc2)CC3)CC1,5.554240163511369
C=C(Cl)CN1CCN(C(=O)CCC(=O)c2ccc(Cl)cc2)CC1,5.958607314841775
C=C(N(C)Cc1ccc(-c2ccccc2)cc1)N1CCN(C(C)C)CC1,7.431798275933005
C=CC(O)c1ccc(OCCCN2CCCCC2)cc1,7.905114521826563
C=CCC(O)(CC=C)c1ccc(OCCCN2CCCCC2)cc1,8.817068892298721
C=CCC(O)c1ccc(OCCCN2CCCCC2)cc1,8.161150909262744
C=CCCCNC(=O)OCCCc1c[nH]cn1,7.351941753915143
C=CCCCOCCCc1c[nH]cn1,7.568636235841012
C=CCCNC(=O)OCCCc1c[nH]cn1,6.759819000551894
C=CCN(CC=C)CCc1c[nH]c2ccc(Br)cc12,5.829999526735649
C=CCN(CC=C)CCc1c[nH]c2ccc(C)cc12,5.0
C=CCN(CC=C)CCc1c[nH]c2ccc(Cl)cc12,5.800000874803203
C=CCN(CC=C)CCc1c[nH]c2ccc(F)cc12,5.679999195735272
C=CCN(CC=C)CCc1c[nH]c2ccc(OC)cc12,5.385000467025354
C=CCN(CC=C)CCc1c[nH]c2ccccc12,5.0
C=CCN1CCN(CC2Cc3cc(-c4ccccc4)ccc3O2)CC1,8.400007822415901
C=CCN1CCN(CC2Cc3cc(C(C)(C)C)ccc3O2)CC1,7.79997073344623
C=CCN1CCN(CC2Cc3cc(OC)ccc3O2)CC1,8.199970640755865
C=CCN1CCN(CC2Cc3ccccc3O2)CC1,6.399996913372259
C=CCOCCCc1c[nH]cn1,6.699480900891103
C=Cc1cnc2nc(N3CCC(N4CCCCC4)CC3)oc2c1,6.431798275933005
CC#Cc1ccc(OCCCc2c[nH]cn2)cc1,8.1249387366083
CC(=C1CCNCC1)c1c[nH]cn1,8.400007822415901
CC(=NNC(N)=O)c1ccc(OCCCc2c[nH]cn2)cc1,8.090468672537266
CC(=NO)c1ccc(OCCCc2c[nH]cn2)c(C)c1,8.811939737195274
CC(=NO)c1ccc(OCCCc2c[nH]cn2)cc1,9.592503508482011
CC(=NO)c1ccc(OCCCc2c[nH]cn2)cc1C,8.87692311710695
CC(=NO)c1ccc(OCCCc2c[nH]cn2)cc1F,9.511458439842073
CC(=NO)c1ccc(OCc2ccc(CN3CCCCC3)cc2)cc1,7.259637310505756
CC(=NOCc1ccccc1)c1ccc(OCCCc2c[nH]cn2)cc1,7.619788758288394
CC(=O)C1=C(C)N(c2cccc(C(F)(F)F)c2)C(=O)NC1c1ccc(C#N)nc1,5.531537162034537
CC(=O)C=Cc1ccc(OCCCc2c[nH]cn2)cc1,7.698970004336019
CC(=O)CCOCCCc1c[nH]cn1,6.844663962534938
CC(=O)CCc1ccc(OCCCc2c[nH]cn2)cc1,7.070487022564757
CC(=O)Cc1ccc(OCCCc2c[nH]cn2)cc1,7.28785653403855
CC(=O)N(C)C1CCC2(C)C(=CCC3C2CCC24CN(C)C(C)C2CCC34)C1,6.774666210738369
CC(=O)N(C)CC1CC(c2ccc(CN3CCCC3)c(Cl)c2)C1,7.7086512404166925
CC(=O)N(CCCN(C)C)c1c2c(nc3ccccc13)CCCCC2,6.0
CC(=O)N1CC(Oc2ccc(F)cc2)CC1C(=O)N1CCCN(C2CCC2)CC1,8.823908740944319
CC(=O)N1CC(Oc2cccc(F)c2)CC1C(=O)N1CCCN(C(C)C)CC1,7.292429823902063
CC(=O)N1CC(Oc2cccc(F)c2)CC1C(=O)N1CCCN(C)CC1,6.341988603342887
